,Date,0,1,2,3,4,5,6,7,8,9,10
0,03 Jan 18,465536,76225,4417,0,9944,547944,0.0,0.0,0.0,4415,4438
1,10 Jan 18,467473,74747,4417,0,9912,548066,0.0,0.0,0.0,4407,4430
2,17 Jan 18,469351,73972,4660,0,9939,548276,0.0,0.0,0.0,4309,4333
3,24 Jan 18,471629,73506,4660,0,9890,551009,0.0,0.0,0.0,4190,4214
4,31 Jan 18,472128,73329,4660,0,9863,551864,0.0,0.0,0.0,4191,4214
5,07 Feb 18,473964,73211,4660,0,9878,552966,0.0,0.0,0.0,4291,4316
6,14 Feb 18,478462,73189,4115,0,9840,557402,0.0,0.0,0.0,4266,4288
7,21 Feb 18,480877,73117,4115,0,9876,560417,0.0,0.0,0.0,4263,4287
8,28 Feb 18,492226,73250,4115,0,9841,572012,0.0,0.0,0.0,5765,5316
9,07 Mar 18,473603,73354,4115,0,9352,572012,0.0,0.0,0.0,5720,5732
10,14 Mar 18,474943,73288,4077,0,9356,572012,0.0,0.0,0.0,5702,5707
11,21 Mar 18,478595,73374,4077,0,9359,572012,0.0,0.0,0.0,4222,4223
12,28 Mar 18,481950,73858,4077,0,9362,572012,0.0,0.0,0.0,4220,4223
13,04 Apr 18,483981,74523,4077,0,9365,572012,0.0,0.0,0.0,4223,4227
14,11 Apr 18,491192,73740,4287,0,9373,572012,0.0,0.0,0.0,4186,4193
15,18 Apr 18,496425,73199,4287,0,9376,572007,0.0,0.0,0.0,4175,4186
16,25 Apr 18,496302,73334,4287,0,9380,572007,0.0,0.0,0.0,4255,4269
17,02 May 18,495298,73611,4287,0,9383,571607,0.0,0.0,0.0,4359,4375
18,09 May 18,495869,73934,4287,0,9391,571607,0.0,0.0,0.0,4373,4392
19,16 May 18,494283,73798,5062,0,9394,571607,0.0,0.0,0.0,4394,4416
20,23 May 18,488391,74049,5062,0,9397,571607,0.0,0.0,0.0,4444,4466
21,30 May 18,493354,74492,5062,0,9400,571607,0.0,0.0,0.0,4478,4500
22,06 Jun 18,491577,74141,5062,0,9527,571607,0.0,0.0,0.0,4419,4443
23,13 Jun 18,487703,74140,4177,0,9657,571607,0.0,0.0,0.0,4439,4465
24,20 Jun 18,488221,74349,4177,0,9724,571607,0.0,0.0,0.0,4504,4534
25,27 Jun 18,488323,74437,4177,0,9847,571457,0.0,0.0,0.0,4519,4551
26,04 Jul 18,487918,74707,4177,0,9995,571457,0.0,0.0,0.0,4497,4532
27,11 Jul 18,490315,75016,4177,0,10150,571457,0.0,0.0,0.0,4480,4518
28,18 Jul 18,484138,74953,4157,0,10346,571457,0.0,0.0,0.0,4551,4589
29,25 Jul 18,486890,74934,4157,0,10262,571457,0.0,0.0,0.0,4515,4555
30,01 Aug 18,488157,75073,4157,0,10307,571457,0.0,0.0,0.0,4523,4562
31,08 Aug 18,489566,75102,4157,0,10416,571457,0.0,0.0,0.0,4610,4651
32,15 Aug 18,491426,75002,5480,0,10569,571457,0.0,0.0,0.0,4694,4737
33,22 Aug 18,488556,75201,5480,0,10703,571454,0.0,0.0,0.0,4606,4650
34,29 Aug 18,490880,75631,5480,0,10786,571454,0.0,0.0,0.0,4571,4614
35,05 Sep 18,491073,75305,5480,0,10902,571454,0.0,0.0,0.0,4588,4612
36,12 Sep 18,487381,75121,5908,0,10921,571454,0.0,0.0,0.0,4560,4573
37,19 Sep 18,487671,75022,5908,0,11082,571444,0.0,0.0,0.0,4512,4516
38,26 Sep 18,488810,75072,5908,0,11235,571444,0.0,0.0,0.0,4500,4506
39,03 Oct 18,489126,75096,5908,0,11406,571444,0.0,0.0,0.0,4562,4570
40,10 Oct 18,491587,74880,5428,0,11553,571444,0.0,0.0,0.0,4493,4503
41,17 Oct 18,492930,74782,5428,0,11672,571444,0.0,0.0,0.0,4518,4709
42,24 Oct 18,492580,74884,5428,0,11791,571444,0.0,0.0,0.0,4598,4791
43,31 Oct 18,491033,74989,5428,0,11878,571444,0.0,0.0,0.0,4644,4840
44,07 Nov 18,492628,74990,5428,0,11926,571444,0.0,0.0,0.0,4514,4530
45,14 Nov 18,487888,74974,5830,0,12085,566444,0.0,0.0,0.0,4566,4583
46,21 Nov 18,488529,74895,5830,0,12179,566444,0.0,0.0,0.0,4651,4853
47,28 Nov 18,488938,75175,5830,0,12316,566444,0.0,0.0,0.0,4663,4684
48,05 Dec 18,487301,75476,5830,0,12449,566439,0.0,0.0,0.0,4666,4690
49,12 Dec 18,486572,75840,7164,0,12445,566439,0.0,0.0,0.0,4699,4726
50,19 Dec 18,484932,76723,7164,0,12471,566439,0.0,0.0,0.0,4714,4742
51,26 Dec 18,484262,78188,7164,0,12475,566439,0.0,0.0,0.0,4714,4743
52,02 Jan 19,485156,77022,7164,0,12479,566439,0.0,0.0,0.0,4739,4768
53,09 Jan 19,487445,75494,7164,0,12483,566439,0.0,0.0,0.0,4684,4716
54,16 Jan 19,489815,74577,8134,0,12496,566438,0.0,0.0,0.0,4642,5312
55,23 Jan 19,487910,74178,8134,0,12508,444997,121442.0,0.0,0.0,4570,5232
56,30 Jan 19,488792,74178,8134,0,12553,444997,121422.0,0.0,0.0,4567,5230
57,06 Feb 19,488315,74074,8134,0,12590,444997,121422.0,0.0,0.0,4610,5279
58,13 Feb 19,491320,74021,9631,0,12607,444997,121422.0,0.0,0.0,6224,6858
59,20 Feb 19,491212,73969,9631,0,12640,444997,121422.0,0.0,0.0,6145,6933
60,27 Feb 19,491220,74019,9631,0,12654,444997,121401.0,0.0,0.0,6021,6767
61,06 Mar 19,471255,74190,9631,0,12713,444997,121401.0,0.0,0.0,6076,6830
62,13 Mar 19,473585,74194,11511,0,12383,444997,121401.0,0.0,0.0,6050,7011
63,20 Mar 19,476641,74089,11916,0,12387,444997,121401.0,0.0,0.0,4545,4886
64,27 Mar 19,478655,74326,12086,0,12391,444997,121401.0,0.0,0.0,4548,4886
65,03 Apr 19,482697,74493,12561,0,12394,444997,121250.0,0.0,0.0,4568,5470
66,10 Apr 19,489268,74529,12611,0,12428,444997,121250.0,0.0,0.0,4596,5198
67,17 Apr 19,491067,74982,12841,0,12445,444997,121250.0,0.0,0.0,4606,4631
68,24 Apr 19,492892,75368,12903,0,12446,444997,121250.0,0.0,0.0,4647,4672
69,01 May 19,495534,74889,12943,0,12477,444997,121249.0,0.0,0.0,4609,4633
70,08 May 19,491878,75029,12963,0,12501,444997,117239.0,0.0,0.0,4639,4664
71,15 May 19,491822,74673,12816,0,12551,444997,117239.0,0.0,0.0,4698,4877
72,22 May 19,490866,74706,13571,0,12694,444997,117239.0,0.0,0.0,4774,4954
73,29 May 19,491997,75156,13571,0,12832,444997,117238.0,0.0,0.0,4795,4977
74,05 Jun 19,492925,75174,13646,0,13025,444997,117238.0,0.0,0.0,4779,4961
75,12 Jun 19,487661,75167,12823,0,13147,444997,116943.0,0.0,0.0,4781,4807
76,19 Jun 19,488356,75256,13128,0,13217,444997,116943.0,0.0,0.0,4816,4842
77,26 Jun 19,489961,75510,13228,0,13298,444997,116742.0,0.0,0.0,4808,4836
78,03 Jul 19,489015,75719,12528,0,13520,444997,116742.0,0.0,0.0,4850,4875
79,10 Jul 19,487373,75775,12778,0,13698,444997,116742.0,0.0,0.0,4877,4902
80,17 Jul 19,480773,75920,11858,0,13858,444997,116742.0,0.0,0.0,4904,4900
81,24 Jul 19,487025,76021,13438,0,13877,444997,116742.0,0.0,0.0,4881,4876
82,31 Jul 19,486936,76168,13538,0,13905,444997,116742.0,0.0,0.0,4986,5141
83,07 Aug 19,487676,76302,13823,0,13933,444997,116742.0,0.0,0.0,5045,5206
84,14 Aug 19,487144,76265,11743,0,13967,444997,116742.0,0.0,0.0,5083,5244
85,21 Aug 19,486850,76358,11768,0,13986,444997,116726.0,0.0,0.0,5057,5221
86,28 Aug 19,477604,76559,11873,0,14001,444997,116276.0,0.0,0.0,5004,5164
87,04 Sep 19,466583,76451,11893,0,14053,444997,116266.0,0.0,0.0,5020,5180
88,11 Sep 19,468687,76300,8892,0,13768,444997,116266.0,0.0,0.0,4917,5076
89,18 Sep 19,472920,76154,8917,0,13794,444997,116156.0,0.0,0.0,4855,5013
90,25 Sep 19,476654,76128,8917,0,13822,444997,115292.0,0.0,0.0,4901,5061
91,02 Oct 19,480443,76143,8997,0,13856,444997,114453.0,0.0,0.0,4942,5101
92,09 Oct 19,484757,76040,8673,0,13882,444997,114453.0,0.0,0.0,4982,5143
93,16 Oct 19,484528,76000,9033,0,13920,444997,114453.0,0.0,0.0,4747,4902
94,23 Oct 19,484366,75994,9398,0,13935,444997,114439.0,0.0,0.0,4718,4960
95,30 Oct 19,485886,75937,10038,0,13961,444997,114429.0,0.0,0.0,4721,5106
96,06 Nov 19,487077,75779,10188,0,13980,444997,114429.0,0.0,0.0,4723,4966
97,13 Nov 19,485724,75644,9093,0,14015,444997,114429.0,0.0,0.0,4734,4978
98,20 Nov 19,483761,75685,9093,0,14043,444997,112864.0,0.0,0.0,4714,4958
99,27 Nov 19,483356,75788,9093,0,14057,444997,112731.0,0.0,0.0,4728,4885
100,04 Dec 19,484171,76038,9703,0,14026,444997,112690.0,0.0,0.0,4646,4647
101,11 Dec 19,479192,76229,7932,0,14092,444997,112690.0,0.0,0.0,4620,4920
